X,y
-0.04934552605164794,-3.9791
0.0908874259553083,-2.4188
0.22666626642082938,0.1913
0.2996885023064786,-1.5075
0.36332665569915273,1.0794
0.3645884515771557,-0.9434
0.36670014356853364,-0.0629
0.3505291059297412,-1.7295
0.35740913178183276,-0.2465
0.34692936900252724,-1.6959
0.35595994992153496,-1.5504
0.3733818270378359,2.1315
0.3164413599077875,0.0609
0.25855170693588936,0.7985
0.1871962629811771,-1.8094
0.16559782511897547,-3.0409
0.20402068165953968,0.6474
0.19717427229628315,0.7711
0.1593107575646735,0.1783
0.1163916214179932,2.6846
0.01995784737672779,3.5376
-0.12032437444762745,-2.8834
-0.14899749694550968,-2.1021
-0.12118974963133666,-1.1869
-0.07830769858921016,-2.0349
-0.008901535754151313,-0.8646
0.04798426362704378,0.1154
0.07223312261292592,5.0303
-0.028794634890888182,-0.1211
-0.09449164933016796,1.8496
-0.17522803168910317,-0.6736
-0.20842859946863657,-3.828
-0.14069608310864834,-0.1176
-0.09334089701195958,-2.355
-0.011249743294914238,1.2798
0.007925272085700374,-0.0581
0.015998546910498512,0.4673
0.005166608013231877,-0.1749
-0.0029188141595866135,2.9412
-0.07522263946807006,1.0922
-0.14424863056861764,-2.0214
-0.14090254000010893,0.4179
-0.1443797772572592,-2.4461
-0.08908108042550322,-0.2904
-0.04686365327306874,-0.5199
-0.009846194970973832,-0.0577
0.01178312252261704,-0.4025
0.03026487044977677,-1.137
0.06232855181592051,0.3995
0.06662069693751715,-0.2846
0.06844557709712062,-0.8465
0.08123589159204542,0.9687
0.059200180599647045,-0.1706
0.041883476246778906,-3.7767
0.11257617941390485,-0.5985
0.16044057196233297,-1.7112
0.2179252334092041,1.2453
0.20773012619652031,0.0542
0.18325540863221812,1.989
0.10602347226172049,2.5496
-0.011955869481827697,0.3411
-0.09948519583650495,-0.2834
-0.1490739776124863,1.1468
-0.20385189735390397,-0.3998
-0.22408456100222096,-0.3982
-0.22109356368071564,-0.5656
-0.19937024181906898,-1.0632
-0.15510304967246585,-0.0559
-0.12164720348895075,-1.3245
-0.06708812630513095,-0.1653
-0.02881254114138382,1.9663
-0.05118535762570625,-1.7118
-0.026042619275933376,-0.6037
0.0020962152940914858,-1.1394
0.04339661579038795,0.8758
0.04345741469706671,-0.436
0.048200273485878575,5.4598
-0.07594511743003834,-0.7416
-0.13634801161751992,0.6315
-0.1839536381622272,-1.2472
-0.17850369399369964,-1.2871
-0.13840204173570975,-0.8874
-0.0873025917240686,-0.8251
-0.03306602576095691,-6.2403
0.15566246474965253,-0.5641
0.2780407820502823,-1.1156
0.3658229974415968,-1.004
0.4239328664477222,-0.6484
0.4504977665432711,-0.3479
0.44721342009946097,0.3992
0.405227726076818,0.2
0.3453675537687456,3.9501
0.18475737549107374,-1.6863
0.10811990395580973,1.4515
0.010028384091270603,-1.882
-0.013427891825171234,2.3425
-0.09350498979597233,-1.8897
-0.09999906285930105,1.1886
-0.1363855698989631,-0.2577
-0.15355189257778712,4.0773
-0.2608061286163087,3.9598
-0.4119270828688908,-1.2121
-0.4629811162740609,1.0017
-0.49863770895527976,2.2766
-0.5497175824576579,1.268
-0.5835595016644486,-1.8665
-0.5332934754018387,-1.6685
-0.43555882264247237,-2.9682
-0.28029360784143664,-2.8826
-0.0964697645985271,-2.2541
0.08179771212935841,0.7744
0.17174621343046426,-4.1564
0.32759037288375703,-1.7501
0.4545554439075221,8.2632
0.30939173682174237,-1.196
0.23031112841634732,-0.052
0.16819096445998483,4.2818
0.01746611681137153,2.2727
-0.13243156875465617,-1.9565
-0.1753718801680193,2.9083
-0.26094175982147244,0.4494
-0.31199102927361805,0.4515
-0.33801627130232315,-3.6433
-0.25049574836371613,-0.3792
-0.17240517622445659,-3.6534
-0.02351554870696604,-1.0331
0.09818044768760625,0.3109
0.1630435394130892,-0.6179
0.21148738684660826,-4.5231
0.34872670309355425,-1.3579
0.4519455588206598,4.8297
0.37040861766228544,-1.4035
0.3334918403454596,0.3017
0.282321248998693,0.0
0.23191374253795627,0.4038
0.17388756314209763,0.4055
0.11373165042613953,3.5152
-0.02016972626927871,6.7189
-0.2608747524326973,1.0181
-0.42512146121608685,-0.7299
-0.49229960465988853,-0.4472
-0.500375178594286,-0.6663
-0.46473720268440105,1.8089
-0.4586689362584456,-1.5033
-0.39510225684016786,1.1831
-0.3591933957623663,-0.0563
-0.3136038747476149,-5.5319
-0.13215742752416415,-6.4677
0.1584161851665945,-1.3739
0.37160714538203526,-0.3423
0.4974699491050607,-0.7282
0.5710762115855749,-2.876
0.6654811769941185,-0.6092
0.7051917786962674,-1.2951
0.7260773419092854,4.1426
0.5869097293266949,-1.7045
0.50909669683821,-0.189
0.43181497506487576,-0.5172
0.3668677833710501,-1.1158
0.3288127019848113,-4.612
0.4109668160504003,-1.0097
0.45983777868508136,3.2638
0.3629839856211192,1.1463
0.23903126477987824,-5.9914
0.3133684041684286,2.5641
0.2559370853303955,1.2534
0.15663376019181263,-1.9315
0.1278319529685541,-2.4829
0.1623065606509877,1.2132
0.12449807217779862,-0.2593
